请输入N的范围:1<N<700
请输入数据取点个数:700
请输入要保存的有效数字:6
方程右侧是否引入最后一项修正项?(N/Y):n

=========================================================================

N                      N!                    Appro_Val                    Differ                  1/(Rela_Differ)

0                      1E0                       1E0                       0E0                       0E0


1                      1E0                       0E0                       1E0                       1E0


2                      2E0                       0E0                       2E0                       1E0


3                      6E0                       1E0                       5E0                       1E0


4                      24E0                       4E0                       20E0                       1E0


5                      120E0                       21E0                       99E0                       1E0


386                      300266E827                       609578E825                       294170E827                       0E0


387                      116203E830                       235601E828                       113847E830                       1E0


388                      450868E832                       912957E830                       441738E832                       1E0


389                      175387E835                       354683E833                       171840E835                       1E0


390                      684012E837                       138149E836                       670197E837                       1E0


391                      267448E840                       539473E838                       262054E840                       1E0


392                      104839E843                       211203E841                       102727E843                       1E0


393                      412020E845                       828974E843                       403731E845                       1E0


394                      162336E848                       326201E846                       159074E848                       1E0


395                      641228E850                       128686E849                       628359E850                       1E0


396                      253926E853                       508954E851                       248836E853                       1E0


397                      100808E856                       201800E854                       987907E855                       1E0


398                      401218E858                       802156E856                       393197E858                       0E0


399                      160086E861                       319659E859                       156889E861                       1E0


400                      640345E863                       127703E862                       627574E863                       1E0


401                      256778E866                       511453E864                       251663E866                       1E0


402                      103224E869                       205348E867                       101171E869                       1E0


403                      415996E871                       826527E869                       407731E871                       1E0


404                      168062E874                       333503E872                       164727E874                       1E0


405                      680653E876                       134902E875                       667163E876                       1E0


406                      276345E879                       547028E877                       270875E879                       1E0


407                      112472E882                       222367E880                       110248E882                       1E0


408                      458887E884                       906145E882                       449826E884                       1E0


409                      187685E887                       370160E885                       183983E887                       1E0


410                      769509E889                       151580E888                       754351E889                       1E0


411                      316268E892                       622238E890                       310045E892                       1E0


412                      130302E895                       256050E893                       127742E895                       1E0


413                      538149E897                       105621E896                       527587E897                       1E0


414                      222793E900                       436742E898                       218426E900                       1E0


415                      924594E902                       181029E901                       906491E902                       1E0


416                      384631E905                       752178E903                       377109E905                       1E0


417                      160391E908                       313282E906                       157258E908                       1E0


418                      670435E910                       130795E909                       657355E910                       1E0


419                      280912E913                       547378E911                       275438E913                       1E0


420                      117983E916                       229625E914                       115686E916                       1E0


421                      496709E918                       965573E916                       487053E918                       1E0


422                      209611E921                       406989E919                       205541E921                       1E0


423                      886656E923                       171952E922                       869460E923                       1E0


424                      375942E926                       728220E924                       368660E926                       1E0


425                      159775E929                       309129E927                       156684E929                       1E0


426                      680643E931                       131534E930                       667489E931                       1E0


427                      290634E934                       560994E932                       285024E934                       1E0


428                      124391E937                       239825E935                       121993E937                       1E0


429                      533640E939                       102765E938                       523363E939                       1E0


430                      229465E942                       441375E940                       225051E942                       1E0


431                      988995E944                       190012E943                       969994E944                       1E0


432                      427246E947                       819902E945                       419046E947                       1E0


